street_name,street_type,lamp_type,longitude,latitude,wattage
Creek,Road,HPS,147.290800208212,-42.858061388655,150.0
Brushy Creek,Road,LED,147.279564254137,-42.8671525779375,18.0
Strickland,Avenue,LED,147.284022544585,-42.8988107340222,18.0
Athleen,Avenue,LED,147.285447298405,-42.8632903786377,18.0
Strickland,Avenue,LED,147.29035355359,-42.8977889219972,18.0
Cascade,Road,MV,147.295104380904,-42.8958412143295,400.0
Edge,Avenue,LED,147.292462228784,-42.8658577440485,18.0
Kalang,Avenue,LED,147.28240235276,-42.860345919928,18.0
Namoi,Place,LED,147.282777075035,-42.8665556518428,18.0
Monash,Avenue,LED,147.281066415311,-42.860271851637,18.0
Clyde,Court,LED,147.274133064636,-42.8577832507123,18.0
Strickland,Avenue,LED,147.290757913959,-42.8975760834304,18.0
Doyle,Avenue,LED,147.290574950627,-42.8669923803459,18.0
Baldwin,Place,LED,147.276954562968,-42.8593815933568,18.0
Riseley,Court,LED,147.275866597835,-42.8580609712235,18.0
Firth,Road,LED,147.280000647795,-42.8583223560389,18.0
Edge,Avenue,LED,147.290395404114,-42.8660205974699,18.0
Jeannette,Court,LED,147.281431437824,-42.8678227160266,18.0
Doyle,Avenue,LED,147.294779590801,-42.8676405583537,75.0
Huon,Road,LED,147.247476169526,-42.9301502341486,60.0
Huon,Road,LED,147.260355293,-42.9206211078801,18.0
McCann,Crescent,LED,147.28985769733,-42.8655371960349,25.0
Huon,Road,LED,147.266860100013,-42.9145974998699,18.0
Cranswick,Court,LED,147.278669093799,-42.8574515585113,18.0
Strickland,Avenue,LED,147.280093228218,-42.9017320789373,18.0
Strickland,Avenue,MV,147.268647258768,-42.9043804479602,18.0
Strickland,Avenue,LED,147.26862449698,-42.9051079351389,18.0
Summerleas,Road,LED,147.269057451565,-42.9244241012542,18.0
Wellwood,Street,LED,147.293121931302,-42.8628565460724,18.0
Maria,Street,HPS,147.291089444941,-42.8587713073524,150.0
Creek,Road,HPS,147.289237238461,-42.8608044269514,150.0
Ruth,Drive,LED,147.283832428903,-42.8697919192398,18.0
Ruth,Drive,LED,147.284951461601,-42.8684024962803,18.0
Copley,Road,LED,147.286576861224,-42.8733039069182,18.0
Maria,Street,HPS,147.29059638861,-42.8587317117438,150.0
Benjamin,Court,CFL,147.283789539084,-42.8686314149381,42.0
Pillinger,Drive,CFL,147.263449550348,-42.9187961021036,42.0
Summerleas,Road,LED,147.270132756611,-42.9245720638693,18.0
Strickland,Avenue,CFL,147.270325312283,-42.9013871646796,42.0
Edge,Avenue,LED,147.291387157673,-42.8661837751631,25.0
Cascade,Road,MV,147.294760646592,-42.8958527260274,400.0
Strickland,Avenue,LED,147.291286553283,-42.8972769902491,18.0
Creek,Road,HPS,147.29031769841,-42.8584846107446,150.0
Ogilvie,Street,CFL,147.295149246722,-42.870533023158,42.0
Rosehill,Crescent,CFL,147.290675334125,-42.8680849175975,42.0
Marlyn,Road,LED,147.277845180159,-42.8987842613067,18.0
Edge,Avenue,LED,147.291992820925,-42.8642035708222,18.0
Rosehill,Crescent,LED,147.291845675821,-42.8682032416318,18.0
Cranswick,Court,LED,147.279024361009,-42.8573159558798,18.0
Cranswick,Court,LED,147.27973336481,-42.8578971484207,18.0
Lenah Valley,Road,HPS,147.283394932307,-42.8624110845876,150.0
Lenah Valley,Road,HPS,147.281519976465,-42.8641724456054,150.0
Kalang,Avenue,LED,147.277265416054,-42.8619035234562,18.0
Daly,Street,LED,147.275305266624,-42.86359783669,18.0
Strickland,Avenue,CFL,147.27460024044,-42.9008637101533,42.0
Pottery,Road,LED,147.279391860843,-42.8741238561428,18.0
Strickland,Avenue,HPS,147.292309799504,-42.8965560878989,250.0
Lenah Valley,Road,HPS,147.279014829835,-42.8656573374515,150.0
Edge,Avenue,LED,147.292660037586,-42.8650157749093,18.0
Pottery,Road,LED,147.283824439468,-42.8732291843337,18.0
Creek (St Johns Pk),Road,LED,147.29387052577,-42.8571577916459,18.0
Saunders,Crescent,CFL,147.277289796575,-42.8999332178049,42.0
Jane,Court,CFL,147.284292888053,-42.8678030302981,42.0
Copley,Road,CFL,147.286234782601,-42.8718374327678,42.0
Pottery,Road,LED,147.288833707443,-42.8650997761133,18.0
Marlyn,Road,LED,147.281619523982,-42.8964380431917,18.0
Grays,Road,LED,147.250925860982,-42.9271649041315,18.0
Westringa,Road,LED,147.252174302533,-42.9282631994272,18.0
Huon,Road,LED,147.269008847375,-42.9129872905382,18.0
Clegg,Road,LED,147.253631049033,-42.9234426218062,18.0
Huon,Road,LED,147.26843018266,-42.9186793871241,18.0
Huon,Road,LED,147.26424172363,-42.9151450572168,14.0
Marlyn,Road,LED,147.276792332113,-42.8992259432562,18.0
Lumeah,Avenue,CFL,147.275611646576,-42.8630686686723,42.0
Strickland,Avenue,LED,147.267532340899,-42.9100516888564,18.0
Jabez,Crescent,LED,147.292231200281,-42.8691130622255,18.0
Rangeview,Crescent,LED,147.278605984265,-42.864838274835,18.0
Judith,Drive,LED,147.2831347691,-42.8688113407387,14.0
Pottery,Road,LED,147.281074131572,-42.8738589456503,18.0
Augusta,Road,HPS,147.294594251095,-42.8651609418039,150.0
Strickland,Avenue,LED,147.27054012041,-42.9020137190269,18.0
Stephenson,Place,HPS,147.26017675245,-42.9221811707613,150.0
Pillinger,Drive,CFL,147.261414442853,-42.9196521110102,42.0
Marlyn,Road,LED,147.282027908674,-42.8962973215028,18.0
Marlyn,Road,LED,147.283970074461,-42.8969668964771,18.0
Strickland,Avenue,LED,147.277230187006,-42.9015174108089,18.0
Stephenson,Place,LED,147.261039218291,-42.9224100918729,18.0
Huon,Road,LED,147.267884332539,-42.9142074331072,18.0
Huon,Road,LED,147.268245901186,-42.9138172007994,18.0
Huon,Road,LED,147.266182151782,-42.9147798129135,18.0
Curtis,Avenue,LED,147.267076828257,-42.9128430118233,18.0
Strickland,Avenue,LED,147.267569504509,-42.9119338378726,18.0
Browns,Road,LED,147.249375429999,-42.9276560406388,18.0
Huon,Road,LED,147.250118531815,-42.9279015491295,18.0
